This file contains the integrated total and net fluxes at each interface resp. layer. 
Fluxes given in [erg s^-1 cm^-2].
interface press.[10^-6bar] F_down F_up F_net F_dir delta_F_net F_net_conv F_add_heat F_intern
0 1.00000000000000000e+07 1.47193251489359196e+07 1.48110517901930697e+07 9.17266412571500987e+04 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00 3.00000000009757525e+05
1 8.65964323360065371e+06 1.25148125696939323e+07 1.26336693589814194e+07 1.18856789287487045e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
2 7.49894209332455788e+06 1.06043810607086662e+07 1.07295088065908719e+07 1.25127745882205665e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
3 6.49381631576211285e+06 8.98310446235740930e+06 9.11483049682241492e+06 1.31726034465005621e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
4 5.62341325190349109e+06 7.60697018951162510e+06 7.74562149471320119e+06 1.38651305201576091e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
5 4.86967525165863149e+06 6.43886998256354965e+06 6.58485335759093612e+06 1.45983375027386472e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
6 4.21696503428582288e+06 5.44705970148145407e+06 5.60075456385178864e+06 1.53694862370334566e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
7 3.65174127254837705e+06 4.60492487000093330e+06 4.76671656146530062e+06 1.61791691464367323e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
8 3.16227766016837955e+06 3.88962428948459728e+06 4.05993711025157431e+06 1.70312820766977035e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
9 2.73841963426436111e+06 3.28191718563911878e+06 3.46124426264655823e+06 1.79327077007439453e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
10 2.37137370566165540e+06 2.76538277532672090e+06 2.95419152951759333e+06 1.88808754190872423e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
