This file contains the Planck (blackbody) function at each interface. 
Planck function given in [erg s^-1 cm^-3 sr^-1].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   B_int[0]   B_int[1]   B_int[2]   B_int[3]   B_int[4]   B_int[5]   B_int[6]   B_int[7]   B_int[8]   B_int[9]   B_int[10]   B_int[11]   B_int[12]   B_int[13]   B_int[14]   B_int[15]   B_int[16]   B_int[17]   B_int[18]   B_int[19]   B_int[20]   B_int[21]   B_int[22]   B_int[23]   B_int[24]   B_int[25]   B_int[26]   B_int[27]   B_int[28]   B_int[29]   B_int[30]   B_int[31]   B_int[32]   B_int[33]   B_int[34]   B_int[35]   B_int[36]   B_int[37]   B_int[38]   B_int[39]   B_int[40]   B_int[41]   B_int[42]   B_int[43]   B_int[44]   B_int[45]   B_int[46]   B_int[47]   B_int[48]   B_int[49]   B_int[50]   B_int[51]   B_int[52]   B_int[53]   B_int[54]   B_int[55]   B_int[56]   B_int[57]   B_int[58]   B_int[59]   B_int[60]   B_int[61]   B_int[62]   B_int[63]   B_int[64]   B_int[65]   B_int[66]   B_int[67]   B_int[68]   B_int[69]   B_int[70]   B_int[71]   B_int[72]   B_int[73]   B_int[74]   B_int[75]   B_int[76]   B_int[77]   B_int[78]   B_int[79]   B_int[80]   B_int[81]   B_int[82]   B_int[83]   B_int[84]   B_int[85]   B_int[86]   B_int[87]   B_int[88]   B_int[89]   B_int[90]   B_int[91]   B_int[92]   B_int[93]   B_int[94]   B_int[95]   B_int[96]   
10      0.0621800109      0.0569873788         0.0114264286       2.5169e-109     1.37736e-114    3.34409e-120    5.18198e-126    4.07714e-132    2.03735e-138    4.6631e-145     7.0476e-152     4.44564e-159    1.86301e-166    3.21458e-174    1.81729e-182    7.96836e-191    9.8535e-200     1.23717e-208    4.19867e-218    3.82762e-228    2.90977e-238    3.49714e-249    3.749e-260      4.82139e-272    1.50307e-283    4.0644e-294     7.6833e-305     0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
11      0.0746476041      0.0684138075         0.0137175197       2.68107e-88     1.09847e-92     2.30309e-97     3.27901e-102    2.6999e-107     1.49513e-112    4.42024e-118    8.99025e-124    9.07512e-130    6.26193e-136    2.12054e-142    2.95417e-149    3.1453e-156     1.21344e-163    4.37827e-171    5.50704e-179    2.45264e-187    8.16497e-196    6.25771e-205    4.50671e-214    6.27533e-224    1.61645e-233    2.3108e-242     2.77326e-251    2.92012e-259    2.56627e-267    5.33626e-274    1.02537e-280    1.01122e-285    1.22398e-290    1.70765e-295    2.02315e-298    2.39642e-301    5.50618e-304    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
12      0.0896150502      0.0821313271         0.0164679929       7.79652e-71     1.71034e-74     2.15781e-78     1.95425e-82     1.1349e-86      4.67468e-91     1.16041e-95     2.06624e-100    2.094e-105      1.50225e-110    6.07028e-116    1.20822e-121    1.8394e-127     1.24133e-133    7.42612e-140    1.90189e-146    2.14243e-153    1.70799e-160    4.30688e-168    1.00351e-175    6.70333e-184    6.82114e-192    2.68506e-199    1.07143e-206    2.29632e-213    4.8349e-220     1.25193e-225    3.34914e-231    2.06623e-235    1.65045e-239    1.61115e-243    5.21353e-246    1.72019e-248    1.11466e-250    1.10328e-252    9.58478e-255    2.79205e-255    4.30837e-257    2.32318e-257    7.24261e-258    1.96703e-259    1.54213e-259    1.19968e-259    9.23743e-260    7.0167e-260     5.22474e-260    3.77909e-260    2.61925e-260    1.6793e-260     9.20753e-261    3.16105e-261    7.88096e-262    7.73391e-262    7.61469e-262    7.51931e-262    7.4438e-262     7.3822e-262     7.33054e-262    7.28881e-262    7.25702e-262    7.23119e-262    7.21132e-262    7.19542e-262    7.18151e-262    7.16959e-262    7.15965e-262    7.15369e-262    7.14773e-262    7.14177e-262    7.13978e-262    7.13779e-262    7.13382e-262    7.13183e-262    7.12985e-262    7.12786e-262    7.12786e-262    7.12786e-262    7.12786e-262    7.12786e-262    7.12587e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    
13      0.10758359        0.09859932           0.0197699582       2.4363e-56      2.1638e-59      1.21624e-62     5.15433e-66     1.52086e-69     3.34022e-73     4.86725e-77     5.29864e-81     3.65893e-85     1.85723e-89     5.91882e-94     1.07091e-98     1.49937e-103    1.09348e-108    6.85426e-114    2.16976e-119    3.57696e-125    4.11565e-131    1.93544e-137    8.09301e-144    1.31921e-150    2.86873e-157    1.8113e-163     1.31837e-169    3.49482e-175    1.02761e-180    2.18076e-185    5.21099e-190    1.48884e-193    5.72356e-197    2.8108e-200     2.11495e-202    1.65548e-204    2.52098e-206    5.89206e-208    1.23742e-209    3.67949e-210    1.37532e-211    7.4653e-212     2.40085e-212    1.57625e-213    1.23791e-213    9.65229e-214    7.45509e-214    5.68679e-214    4.25991e-214    3.10877e-214    2.18523e-214    1.43678e-214    8.32765e-215    3.51302e-215    1.61194e-215    1.58202e-215    1.55776e-215    1.53836e-215    1.523e-215      1.51046e-215    1.49995e-215    1.49146e-215    1.48499e-215    1.47974e-215    1.4757e-215     1.47246e-215    1.46963e-215    1.46721e-215    1.46519e-215    1.46397e-215    1.46276e-215    1.46155e-215    1.46114e-215    1.46074e-215    1.45993e-215    1.45953e-215    1.45912e-215    1.45872e-215    1.45872e-215    1.45872e-215    1.45872e-215    1.45872e-215    1.45831e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    
14      0.129154967       0.118369278          0.0237339941       2.56187e-44     7.29675e-47     1.4229e-49      2.18363e-52     2.49239e-55     2.21054e-58     1.40437e-61     6.92506e-65     2.36091e-68     6.14273e-72     1.09379e-75     1.23669e-79     1.10205e-83     5.81791e-88     2.60363e-92     6.71777e-97     1.02912e-101    1.11476e-106    6.02507e-112    2.80019e-117    6.38103e-123    1.77815e-128    1.14953e-133    9.24827e-139    2.00535e-143    5.24156e-148    6.4418e-152     9.48633e-156    9.79555e-159    1.3933e-161     2.60891e-164    4.00697e-166    6.54296e-168    2.02085e-169    9.52346e-171    4.14128e-172    1.2785e-172     9.78081e-174    5.37583e-174    1.82796e-174    2.41032e-175    1.89934e-175    1.48751e-175    1.15568e-175    8.88616e-176    6.73119e-176    4.99267e-176    3.59786e-176    2.4675e-176     1.55528e-176    8.28142e-177    5.37627e-177    5.27754e-177    5.19749e-177    5.13345e-177    5.08275e-177    5.04139e-177    5.00671e-177    4.97869e-177    4.95734e-177    4.94e-177       4.92665e-177    4.91598e-177    4.90664e-177    4.89864e-177    4.89197e-177    4.88796e-177    4.88396e-177    4.87996e-177    4.87862e-177    4.87729e-177    4.87462e-177    4.87329e-177    4.87195e-177    4.87062e-177    4.87062e-177    4.87062e-177    4.87062e-177    4.87062e-177    4.86929e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    4.86795e-177    
15      0.155051578       0.142103272          0.0284928511       2.34634e-34     1.76467e-36     9.69478e-39     4.34975e-41     1.53088e-43     4.34783e-46     9.40497e-49     1.63521e-51     2.10546e-54     2.14404e-57     1.60078e-60     8.29014e-64     3.459e-67       9.47233e-71     2.19511e-74     3.26092e-78     3.18508e-82     2.26291e-86     9.34114e-91     3.2519e-95      6.56011e-100    1.53049e-104    6.96521e-109    4.08634e-113    5.13967e-117    8.18954e-121    4.36874e-124    2.9074e-127     8.84441e-130    3.73961e-132    2.11509e-134    5.96903e-136    1.83276e-137    1.01529e-138    8.42888e-140    6.65197e-141    2.17719e-141    2.9423e-142     1.65045e-142    6.09957e-143    1.36974e-143    1.08547e-143    8.56372e-144    6.71768e-144    5.23199e-144    4.03315e-144    3.06599e-144    2.29005e-144    1.66122e-144    1.15374e-144    7.49222e-145    5.84401e-145    5.73865e-145    5.65322e-145    5.58487e-145    5.53077e-145    5.48663e-145    5.44961e-145    5.41971e-145    5.39692e-145    5.37841e-145    5.36418e-145    5.35279e-145    5.34282e-145    5.33428e-145    5.32716e-145    5.32288e-145    5.31861e-145    5.31434e-145    5.31292e-145    5.31149e-145    5.30865e-145    5.30722e-145    5.3058e-145     5.30437e-145    5.30437e-145    5.30437e-145    5.30437e-145    5.30437e-145    5.30295e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    5.30153e-145    
16      0.186140669       0.170596123          0.0342058974       4.13343e-26     6.98134e-28     9.08616e-30     9.96974e-32     8.95922e-34     6.71395e-36     4.02611e-38     2.00232e-40     7.79228e-43     2.47812e-45     6.10795e-48     1.11993e-50     1.69346e-53     1.82342e-56     1.67194e-59     1.06976e-62     4.8744e-66      1.67343e-69     3.74651e-73     7.03447e-77     8.63973e-81     1.18407e-84     2.77044e-88     8.40552e-92     4.60497e-95     3.26855e-98     5.95515e-101    1.38258e-103    1.04625e-105    1.09612e-107    1.54064e-109    7.33334e-111    3.88244e-112    3.48511e-113    4.55258e-114    5.83102e-115    2.06571e-115    4.34763e-116    2.51094e-116    1.03164e-116    3.43101e-117    2.74188e-117    2.18648e-117    1.73895e-117    1.37878e-117    1.08815e-117    8.53689e-118    6.6558e-118     5.13134e-118    3.90108e-118    2.92043e-118    2.50916e-118    2.46519e-118    2.42955e-118    2.40103e-118    2.37845e-118    2.36003e-118    2.34459e-118    2.33211e-118    2.3226e-118     2.31488e-118    2.30894e-118    2.30419e-118    2.30003e-118    2.29646e-118    2.29349e-118    2.29171e-118    2.28993e-118    2.28815e-118    2.28755e-118    2.28696e-118    2.28577e-118    2.28517e-118    2.28458e-118    2.28399e-118    2.28399e-118    2.28399e-118    2.28399e-118    2.28399e-118    2.28339e-118    2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     2.2828e-118     
17      0.223463373       0.204802021          0.0410644554       2.71006e-19     8.98107e-21     2.39702e-22     5.54193e-24     1.08688e-25     1.8286e-27      2.5621e-29      3.06079e-31     2.99108e-33     2.45977e-35     1.63986e-37     8.59853e-40     3.80503e-42     1.2795e-44      3.70496e-47     8.01232e-50     1.31424e-52     1.68485e-55     1.538e-58       1.18307e-61     6.50596e-65     3.8995e-68      3.60045e-71     4.25667e-74     7.99432e-77     1.94931e-79     9.93349e-82     6.48651e-84     1.06053e-85     2.3662e-87      7.02503e-89     5.25184e-90     4.44526e-91     5.95048e-92     1.11614e-92     2.11274e-93     8.23204e-94     2.43234e-94     1.45837e-94     6.73912e-95     2.97242e-95     2.40226e-95     1.94274e-95     1.57247e-95     1.27447e-95     1.03401e-95     8.40025e-96     6.8439e-96      5.58261e-96     4.56473e-96     3.75337e-96     3.39987e-96     3.34267e-96     3.29629e-96     3.25919e-96     3.22982e-96     3.20586e-96     3.18576e-96     3.16953e-96     3.15716e-96     3.14711e-96     3.13938e-96     3.1332e-96      3.12779e-96     3.12315e-96     3.11929e-96     3.11697e-96     3.11465e-96     3.11233e-96     3.11156e-96     3.11078e-96     3.10924e-96     3.10846e-96     3.10769e-96     3.10692e-96     3.10692e-96     3.10692e-96     3.10692e-96     3.10692e-96     3.10615e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     3.10537e-96     
18      0.26826958        0.245866476          0.0492982096       1.14611e-13     6.65921e-15     3.23211e-16     1.39061e-17     5.22298e-19     1.72411e-20     4.89596e-22     1.2144e-23      2.55413e-25     4.63904e-27     7.08554e-29     8.89916e-31     9.64176e-33     8.36075e-35     6.32912e-37     3.77863e-39     1.79915e-41     6.93395e-44     2.03578e-46     5.09374e-49     9.73735e-52     1.99627e-54     5.81969e-57     2.12409e-59     1.11881e-61     7.56346e-64     9.12277e-66     1.40137e-67     4.39703e-69     1.84203e-70     1.00995e-71     1.11563e-72     1.41088e-73     2.63178e-74     6.59639e-75     1.7083e-75      7.38456e-76     2.82283e-76     1.76823e-76     9.18825e-77     4.95342e-77     4.05892e-77     3.338e-77       2.75711e-77     2.2896e-77      1.91236e-77     1.60803e-77     1.36386e-77     1.16598e-77     1.00629e-77     8.79004e-78     8.20933e-78     8.07847e-78     7.97236e-78     7.88747e-78     7.82027e-78     7.76544e-78     7.71946e-78     7.68232e-78     7.65403e-78     7.63104e-78     7.61335e-78     7.59921e-78     7.58683e-78     7.57621e-78     7.56737e-78     7.56207e-78     7.55676e-78     7.55146e-78     7.54969e-78     7.54792e-78     7.54438e-78     7.54261e-78     7.54084e-78     7.53908e-78     7.53908e-78     7.53908e-78     7.53908e-78     7.53908e-78     7.53731e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     7.53554e-78     
19      0.322059792       0.295164686          0.0591828978       4.94355e-09     4.58508e-10     3.66162e-11     2.64317e-12     1.70525e-13     9.87061e-15     5.04669e-16     2.30141e-17     9.16255e-19     3.22193e-20     9.81749e-22     2.54942e-23     5.82729e-25     1.11127e-26     1.87734e-28     2.61327e-30     3.02054e-32     2.91738e-34     2.26216e-36     1.51707e-38     8.17799e-41     4.67257e-43     3.56441e-45     3.31529e-47     4.13823e-49     6.50093e-51     1.61376e-52     5.03016e-54     2.73959e-55     1.94046e-56     1.75955e-57     2.72254e-58     4.84111e-59     1.19042e-59     3.77127e-60     1.25529e-60     6.02727e-61     2.80159e-61     1.84011e-61     1.06572e-61     6.6297e-62      5.51884e-62     4.62354e-62     3.90214e-62     3.32155e-62     2.85307e-62     2.47512e-62     2.17189e-62     1.92615e-62     1.72783e-62     1.56976e-62     1.49382e-62     1.47157e-62     1.45352e-62     1.43908e-62     1.42765e-62     1.41832e-62     1.4105e-62      1.40419e-62     1.39937e-62     1.39546e-62     1.39246e-62     1.39005e-62     1.38794e-62     1.38614e-62     1.38463e-62     1.38373e-62     1.38283e-62     1.38193e-62     1.38163e-62     1.38133e-62     1.38072e-62     1.38042e-62     1.38012e-62     1.37982e-62     1.37982e-62     1.37982e-62     1.37982e-62     1.37982e-62     1.37952e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     1.37922e-62     
