This file contains the contribution function for each layer and waveband.
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   contr_func_lay[0]   contr_func_lay[1]   contr_func_lay[2]   contr_func_lay[3]   contr_func_lay[4]   contr_func_lay[5]   contr_func_lay[6]   contr_func_lay[7]   contr_func_lay[8]   contr_func_lay[9]   contr_func_lay[10]   contr_func_lay[11]   contr_func_lay[12]   contr_func_lay[13]   contr_func_lay[14]   contr_func_lay[15]   contr_func_lay[16]   contr_func_lay[17]   contr_func_lay[18]   contr_func_lay[19]   contr_func_lay[20]   contr_func_lay[21]   contr_func_lay[22]   contr_func_lay[23]   contr_func_lay[24]   contr_func_lay[25]   contr_func_lay[26]   contr_func_lay[27]   contr_func_lay[28]   contr_func_lay[29]   contr_func_lay[30]   contr_func_lay[31]   contr_func_lay[32]   contr_func_lay[33]   contr_func_lay[34]   contr_func_lay[35]   contr_func_lay[36]   contr_func_lay[37]   contr_func_lay[38]   contr_func_lay[39]   contr_func_lay[40]   contr_func_lay[41]   contr_func_lay[42]   contr_func_lay[43]   contr_func_lay[44]   contr_func_lay[45]   contr_func_lay[46]   contr_func_lay[47]   contr_func_lay[48]   contr_func_lay[49]   contr_func_lay[50]   contr_func_lay[51]   contr_func_lay[52]   contr_func_lay[53]   contr_func_lay[54]   contr_func_lay[55]   contr_func_lay[56]   contr_func_lay[57]   contr_func_lay[58]   contr_func_lay[59]   contr_func_lay[60]   contr_func_lay[61]   contr_func_lay[62]   contr_func_lay[63]   contr_func_lay[64]   contr_func_lay[65]   contr_func_lay[66]   contr_func_lay[67]   contr_func_lay[68]   contr_func_lay[69]   contr_func_lay[70]   contr_func_lay[71]   contr_func_lay[72]   contr_func_lay[73]   contr_func_lay[74]   contr_func_lay[75]   contr_func_lay[76]   contr_func_lay[77]   contr_func_lay[78]   contr_func_lay[79]   contr_func_lay[80]   contr_func_lay[81]   contr_func_lay[82]   contr_func_lay[83]   contr_func_lay[84]   contr_func_lay[85]   contr_func_lay[86]   contr_func_lay[87]   contr_func_lay[88]   contr_func_lay[89]   contr_func_lay[90]   contr_func_lay[91]   contr_func_lay[92]   contr_func_lay[93]   contr_func_lay[94]   contr_func_lay[95]   
10      0.0621800109      0.0569873788         0.0114264286       2.12721e-181          2.73589e-173          4.29186e-168          3.16468e-165          2.8578e-164           5.28988e-165          3.85493e-167          1.93075e-170          1.08381e-174          7.26944e-180          7.00447e-186          1.6067e-192           7.53872e-200          6.62282e-208          2.53562e-216          1.99897e-225          2.41729e-235          2.95942e-245          6.21022e-256          1.83903e-267          1.0202e-278           3.11663e-290          6.89465e-301          0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
11      0.0746476041      0.0684138075         0.0137175197       6.07575e-160          6.36091e-151          9.14442e-145          6.60579e-141          6.23461e-139          1.37421e-138          1.33086e-139          9.83337e-142          8.82499e-145          1.07218e-148          2.22433e-153          1.14434e-158          1.43318e-164          4.24648e-171          5.33214e-178          1.76901e-185          1.23544e-193          7.43806e-202          1.0448e-210           2.95897e-220          1.17136e-229          3.46664e-239          4.72143e-248          5.97937e-256          6.50283e-264          3.80293e-271          1.21477e-277          6.3146e-284           5.71093e-289          7.21257e-294          4.64566e-298          1.0858e-301           1.69323e-304          0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
12      0.0896150502      0.0821313271         0.0164679929       4.01978e-142          2.41619e-132          2.19397e-125          1.06131e-120          7.09586e-118          1.23155e-116          1.03251e-116          7.18638e-118          6.4846e-120           8.83941e-123          2.35023e-126          1.63367e-130          3.15829e-135          1.72836e-140          4.01462e-146          2.99185e-152          6.05705e-159          9.42881e-166          4.39232e-173          5.51404e-181          7.74356e-189          1.01962e-196          4.29441e-204          1.02743e-210          2.45059e-217          1.83117e-223          7.16159e-229          5.12661e-234          2.98225e-238          2.55311e-242          5.61888e-246          7.68658e-249          3.37354e-251          1.74322e-253          1.09577e-254          3.38673e-256          2.57795e-258          1.25108e-258          4.57026e-259          5.69706e-261          3.63795e-261          2.30393e-261          1.4443e-261           8.93696e-262          5.43962e-262          3.22447e-262          1.84663e-262          9.99384e-263          4.81784e-263          1.8116e-263           1.98723e-264          1.56982e-264          1.2444e-264           9.8928e-265           7.88672e-265          6.30005e-265          5.03998e-265          4.03579e-265          3.23694e-265          2.59866e-265          2.08755e-265          1.67861e-265          1.34982e-265          1.08601e-265          8.73708e-266          7.03346e-266          5.66455e-266          4.56e-266             3.67255e-266          2.95955e-266          2.38368e-266          1.91975e-266          1.5471e-266           1.24597e-266          1.0041e-266           8.0913e-267           6.52033e-267          5.25451e-267          4.23414e-267          3.41032e-267          2.74805e-267          2.21458e-267          1.78457e-267          1.43807e-267          1.1589e-267           9.33845e-268          7.52571e-268          6.06426e-268          4.887e-268            3.93809e-268          3.17344e-268          2.55738e-268          2.06074e-268          1.66073e-268          1.33823e-268          1.07843e-268          
13      0.10758359        0.09859932           0.0197699582       2.49208e-127          6.42787e-117          2.70495e-109          6.38051e-104          2.18479e-100          2.1157e-98            1.07233e-97           4.83629e-98           2.98715e-99           3.06125e-101          6.78555e-104          4.16267e-107          7.87597e-111          4.83956e-115          1.28903e-119          1.28057e-124          4.23548e-130          9.98408e-136          8.59688e-142          2.51961e-148          7.0315e-155           2.14904e-161          1.57726e-167          4.4175e-173           1.37252e-178          9.1959e-184           2.81896e-188          1.70937e-192          4.70644e-196          1.97428e-199          1.42177e-202          7.18842e-205          7.46575e-207          9.23921e-209          6.43627e-210          4.3964e-211           8.21638e-213          4.00433e-213          1.48155e-213          4.56217e-215          2.91771e-215          1.85152e-215          1.1638e-215           7.22742e-216          4.4213e-216           2.64017e-216          1.52907e-216          8.43121e-217          4.21833e-217          1.75072e-217          4.06437e-218          3.21101e-218          2.54561e-218          2.02388e-218          1.61358e-218          1.28902e-218          1.03125e-218          8.25806e-219          6.62363e-219          5.31767e-219          4.27185e-219          3.43507e-219          2.76227e-219          2.22243e-219          1.78799e-219          1.43936e-219          1.15923e-219          9.33191e-220          7.5158e-220           6.05667e-220          4.87817e-220          3.92876e-220          3.16613e-220          2.54987e-220          2.0549e-220           1.65588e-220          1.33439e-220          1.07534e-220          8.66517e-221          6.97925e-221          5.6239e-221           4.53216e-221          3.65213e-221          2.94302e-221          2.37169e-221          1.91112e-221          1.54014e-221          1.24106e-221          1.00013e-221          8.05933e-222          6.49448e-222          5.23371e-222          4.21733e-222          3.39869e-222          2.73869e-222          2.20701e-222          
14      0.129154967       0.118369278          0.0237339941       4.63797e-115          4.02701e-104          6.07054e-96           5.36017e-90           7.17036e-86           2.90778e-83           6.59997e-82           1.41201e-81           4.3363e-82            2.39077e-83           3.09263e-85           1.17073e-87           1.48321e-90           6.78411e-94           1.38882e-97           1.19199e-101          4.00073e-106          9.14338e-111          8.94608e-116          3.58897e-121          1.22912e-126          5.06867e-132          4.02032e-137          8.87127e-142          2.32541e-146          1.03578e-150          1.73372e-154          5.90362e-158          5.97068e-161          9.34656e-164          2.0403e-166           2.70352e-168          5.75923e-170          1.47268e-171          1.2117e-172           1.48645e-173          5.82556e-175          2.86215e-175          1.08433e-175          6.96709e-177          4.46905e-177          2.84699e-177          1.7987e-177           1.12475e-177          6.94592e-178          4.20435e-178          2.48454e-178          1.41479e-178          7.51224e-179          3.56489e-179          1.35544e-179          1.07108e-179          8.49282e-180          6.75322e-180          5.38478e-180          4.30211e-180          3.44208e-180          2.75657e-180          2.21111e-180          1.77523e-180          1.42615e-180          1.14682e-180          9.22227e-181          7.42007e-181          5.96972e-181          4.80579e-181          3.87049e-181          3.11582e-181          2.50946e-181          2.02227e-181          1.62879e-181          1.31179e-181          1.05716e-181          8.51396e-182          6.86125e-182          5.52896e-182          4.45548e-182          3.59052e-182          2.89328e-182          2.33037e-182          1.87782e-182          1.51329e-182          1.21944e-182          9.82674e-183          7.91906e-183          6.38122e-183          5.14253e-183          4.14388e-183          3.33942e-183          2.69101e-183          2.1685e-183           1.74753e-183          1.40816e-183          1.13482e-183          9.14448e-184          7.3692e-184           
15      0.155051578       0.142103272          0.0284928511       6.83531e-105          1.6318e-93            7.11291e-85           1.88608e-78           7.86261e-74           1.05134e-70           8.31883e-69           6.51004e-68           7.61652e-68           1.70824e-68           9.59102e-70           1.65938e-71           1.02593e-73           2.48669e-76           2.79871e-79           1.44704e-82           3.32075e-86           5.07101e-90           3.76014e-94           1.3246e-98            3.72163e-103          1.31979e-107          7.59939e-112          9.50892e-116          1.46503e-119          3.32189e-123          2.2759e-126           3.1058e-129           9.35639e-132          4.35035e-134          2.55717e-136          7.03647e-138          2.73047e-139          1.27488e-140          1.30895e-141          2.4273e-142           1.74368e-143          8.68187e-144          3.41488e-144          3.9505e-145           2.54679e-145          1.63296e-145          1.04044e-145          6.57918e-146          4.12448e-146          2.5493e-146           1.55207e-146          9.24199e-147          5.28581e-147          2.87597e-147          1.4731e-147           1.16448e-147          9.23629e-148          7.34632e-148          5.85891e-148          4.68171e-148          3.74634e-148          3.0006e-148           2.40709e-148          1.93272e-148          1.55277e-148          1.2487e-148           1.00419e-148          8.07981e-149          6.50071e-149          5.23337e-149          4.2149e-149           3.39315e-149          2.73285e-149          2.20229e-149          1.7738e-149           1.4286e-149           1.15129e-149          9.27218e-150          7.47228e-150          6.02134e-150          4.85226e-150          3.91027e-150          3.15094e-150          2.53793e-150          2.04507e-150          1.64807e-150          1.32806e-150          1.0702e-150           8.62439e-151          6.94958e-151          5.60056e-151          4.51296e-151          3.63686e-151          2.93069e-151          2.36165e-151          1.90318e-151          1.53359e-151          1.2359e-151           9.95895e-152          8.02556e-152          
16      0.186140669       0.170596123          0.0342058974       1.78983e-96           9.92442e-85           1.04677e-75           6.93716e-69           7.46248e-64           2.69595e-60           6.03517e-58           1.39114e-56           4.96603e-56           3.58763e-56           6.83633e-57           4.20349e-58           9.742e-60             9.44537e-62           4.41419e-64           1.01861e-66           1.15238e-69           8.61338e-73           3.45432e-76           7.39075e-80           1.2151e-83            2.55296e-87           7.66175e-91           4.13041e-94           2.77081e-97           2.50987e-100          5.58259e-103          2.33432e-105          1.76028e-107          2.00949e-109          2.77408e-111          1.35573e-112          8.68383e-114          6.67557e-115          8.81297e-116          2.1782e-116           2.55746e-117          1.29845e-117          5.37786e-118          9.86268e-119          6.40603e-119          4.14681e-119          2.67463e-119          1.71821e-119          1.09953e-119          6.98524e-120          4.4128e-120           2.76531e-120          1.70492e-120          1.03887e-120          6.32305e-121          5.0012e-121           3.96864e-121          3.15781e-121          2.51924e-121          2.01359e-121          1.61164e-121          1.29107e-121          1.03585e-121          8.31805e-122          6.68348e-122          5.37503e-122          4.32283e-122          3.47836e-122          2.7987e-122           2.25315e-122          1.81469e-122          1.46095e-122          1.17667e-122          9.48227e-123          7.63748e-123          6.15125e-123          4.9572e-123           3.99246e-123          3.21745e-123          2.5927e-123           2.08931e-123          1.68371e-123          1.35675e-123          1.09281e-123          8.80593e-124          7.09647e-124          5.71852e-124          4.6082e-124           3.7136e-124           2.99244e-124          2.41156e-124          1.94325e-124          1.566e-124            1.26193e-124          1.01691e-124          8.19496e-125          6.60351e-125          5.32168e-125          4.28825e-125          3.45575e-125          
17      0.223463373       0.204802021          0.0410644554       1.63263e-89           1.82679e-77           4.02011e-68           5.71402e-61           1.35497e-55           1.12031e-51           5.96228e-49           3.37973e-47           3.0587e-46            5.85791e-46           3.08769e-46           5.4667e-47            3.8114e-48            1.17078e-49           1.79613e-51           1.44115e-53           6.13029e-56           1.72841e-58           2.83041e-61           2.70892e-64           1.96103e-67           1.79516e-70           2.13094e-73           3.92884e-76           8.94921e-79           2.60651e-81           1.55596e-83           1.61599e-85           2.63772e-87           6.31368e-89           1.78994e-90           1.39182e-91           1.35585e-92           1.57396e-93           2.68022e-94           8.13211e-95           1.41666e-95           7.38008e-96           3.25511e-96           8.50597e-97           5.58104e-97           3.65871e-97           2.39738e-97           1.57085e-97           1.03039e-97           6.75432e-98           4.43838e-98           2.92348e-98           1.92347e-98           1.27327e-98           8.56436e-99           6.77919e-99           5.38301e-99           4.28553e-99           3.4204e-99            2.73484e-99           2.18957e-99           1.7545e-99            1.40794e-99           1.13078e-99           9.08689e-100          7.30856e-100          5.87839e-100          4.73035e-100          3.80631e-100          3.06449e-100          2.4682e-100           1.98715e-100          1.60052e-100          1.28979e-100          1.03888e-100          8.36738e-101          6.74316e-101          5.43097e-101          4.37672e-101          3.52687e-101          2.8421e-101           2.29035e-101          1.84559e-101          1.48659e-101          1.1979e-101           9.65358e-102          7.7791e-102           6.26869e-102          5.05174e-102          4.07072e-102          3.28053e-102          2.64347e-102          2.13029e-102          1.71665e-102          1.38334e-102          1.11479e-102          8.98299e-103          7.23927e-103          5.83346e-103          4.70097e-103          
18      0.26826958        0.245866476          0.0492982096       9.09076e-84           1.82557e-71           7.40969e-62           1.98845e-54           9.11362e-49           1.50186e-44           1.64383e-41           1.9716e-39            3.87577e-38           1.67262e-37           2.05713e-37           8.79571e-38           1.53558e-38           1.23153e-39           5.09477e-41           1.15456e-42           1.47542e-44           1.26166e-46           6.67462e-49           2.21739e-51           5.56182e-54           1.72203e-56           6.42561e-59           3.33397e-61           2.09861e-63           1.62537e-65           2.22118e-67           4.86189e-69           1.52003e-70           6.69912e-72           3.45564e-73           3.93932e-74           5.45152e-75           8.89326e-76           1.92286e-76           6.80915e-77           1.62409e-77           8.7284e-78            4.12586e-78           1.40951e-78           9.3653e-79            6.23421e-79           4.16142e-79           2.78831e-79           1.87839e-79           1.27121e-79           8.67174e-80           5.96566e-80           4.13058e-80           2.89543e-80           2.06695e-80           1.63771e-80           1.30148e-80           1.03685e-80           8.27986e-81           6.62328e-81           5.30472e-81           4.25205e-81           3.413e-81             2.74165e-81           2.20355e-81           1.77251e-81           1.42581e-81           1.14745e-81           9.23382e-82           7.43464e-82           5.98818e-82           4.82137e-82           3.8834e-82            3.12947e-82           2.52075e-82           2.03032e-82           1.63621e-82           1.31785e-82           1.06203e-82           8.5581e-83            6.89649e-83           5.55765e-83           4.47841e-83           3.60739e-83           2.90685e-83           2.34255e-83           1.88769e-83           1.52117e-83           1.22586e-83           9.87807e-84           7.96058e-84           6.41468e-84           5.16939e-84           4.16565e-84           3.35682e-84           2.70516e-84           2.17982e-84           1.75669e-84           1.41556e-84           1.14074e-84           
19      0.322059792       0.295164686          0.0591828978       4.93081e-79           1.61171e-66           1.08886e-56           4.96098e-49           3.93812e-43           1.15271e-38           2.29972e-35           5.14912e-33           1.93257e-31           1.64117e-30           4.08765e-30           3.64433e-30           1.36715e-30           2.43747e-31           2.3068e-32            1.24167e-33           3.95782e-35           8.55116e-37           1.2022e-38            1.12333e-40           7.9777e-43            6.78063e-45           6.56834e-47           8.13219e-49           1.19256e-50           2.08709e-52           5.71105e-54           2.31347e-55           1.24928e-56           9.11303e-58           7.70515e-59           1.2082e-59            2.24371e-60           4.84592e-61           1.29704e-61           5.19638e-62           1.58938e-62           8.84668e-63           4.48651e-63           1.87413e-63           1.2635e-63            8.55665e-64           5.82765e-64           3.99648e-64           2.76426e-64           1.92733e-64           1.35848e-64           9.68133e-65           6.96368e-65           5.07532e-65           3.75901e-65           2.98182e-65           2.37191e-65           1.89114e-65           1.51116e-65           1.20945e-65           9.69096e-66           7.77085e-66           6.23923e-66           5.01308e-66           4.02995e-66           3.24206e-66           2.60827e-66           2.09926e-66           1.6895e-66            1.36039e-66           1.09576e-66           8.82303e-67           7.10679e-67           5.72706e-67           4.61325e-67           3.71583e-67           2.99454e-67           2.41196e-67           1.94376e-67           1.56633e-67           1.26221e-67           1.01718e-67           8.19651e-68           6.60255e-68           5.32036e-68           4.28754e-68           3.45501e-68           2.78418e-68           2.24368e-68           1.80797e-68           1.45702e-68           1.17407e-68           9.46147e-69           7.62434e-69           6.14395e-69           4.95123e-69           3.9897e-69            3.21525e-69           2.59087e-69           2.08789e-69           
