This file contains the Planck (blackbody) function at each layer center and from the stellar (2nd last column) and internal (last column) temperatures. 
Planck function given in [erg s^-1 cm^-3 sr^-1].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   B_lay[0]   B_lay[1]   B_lay[2]   B_lay[3]   B_lay[4]   B_lay[5]   B_lay[6]   B_lay[7]   B_lay[8]   B_lay[9]   B_lay[10]   B_lay[11]   B_lay[12]   B_lay[13]   B_lay[14]   B_lay[15]   B_lay[16]   B_lay[17]   B_lay[18]   B_lay[19]   B_lay[20]   B_lay[21]   B_lay[22]   B_lay[23]   B_lay[24]   B_lay[25]   B_lay[26]   B_lay[27]   B_lay[28]   B_lay[29]   B_lay[30]   B_lay[31]   B_lay[32]   B_lay[33]   B_lay[34]   B_lay[35]   B_lay[36]   B_lay[37]   B_lay[38]   B_lay[39]   B_lay[40]   B_lay[41]   B_lay[42]   B_lay[43]   B_lay[44]   B_lay[45]   B_lay[46]   B_lay[47]   B_lay[48]   B_lay[49]   B_lay[50]   B_lay[51]   B_lay[52]   B_lay[53]   B_lay[54]   B_lay[55]   B_lay[56]   B_lay[57]   B_lay[58]   B_lay[59]   B_lay[60]   B_lay[61]   B_lay[62]   B_lay[63]   B_lay[64]   B_lay[65]   B_lay[66]   B_lay[67]   B_lay[68]   B_lay[69]   B_lay[70]   B_lay[71]   B_lay[72]   B_lay[73]   B_lay[74]   B_lay[75]   B_lay[76]   B_lay[77]   B_lay[78]   B_lay[79]   B_lay[80]   B_lay[81]   B_lay[82]   B_lay[83]   B_lay[84]   B_lay[85]   B_lay[86]   B_lay[87]   B_lay[88]   B_lay[89]   B_lay[90]   B_lay[91]   B_lay[92]   B_lay[93]   B_lay[94]   B_lay[95]   Planck_T_star   Planck_T_intern 
24      0.803085722       0.7360203            0.147578001        51103.2         18438.6         6380.15         2116.28         671.955         203.518         58.6868         16.1008         4.19795         1.035           0.241133        0.052927        0.0109275       0.00211557      0.000383295     6.47463e-05     1.01255e-05     1.48096e-06     1.99356e-07     2.45841e-08     2.81352e-09     3.71292e-10     5.30476e-11     8.45715e-12     1.50667e-12     3.00923e-13     7.09977e-14     1.97391e-14     6.27462e-15     2.30494e-15     9.38818e-16     4.60208e-16     2.47579e-16     1.45112e-16     9.22305e-17     6.63188e-17     4.72211e-17     3.83803e-17     3.12588e-17     2.55442e-17     2.29704e-17     2.08957e-17     1.92239e-17     1.78769e-17     1.67944e-17     1.59165e-17     1.52128e-17     1.46476e-17     1.41845e-17     1.38177e-17     1.35314e-17     1.33992e-17     1.32928e-17     1.32057e-17     1.3138e-17      1.30831e-17     1.3038e-17      1.29993e-17     1.29703e-17     1.29477e-17     1.29284e-17     1.29155e-17     1.29026e-17     1.28929e-17     1.28832e-17     1.28768e-17     1.28735e-17     1.28671e-17     1.28639e-17     1.28639e-17     1.28606e-17     1.28574e-17     1.28574e-17     1.28542e-17     1.28542e-17     1.28542e-17     1.28542e-17     1.28542e-17     1.28542e-17     1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      1.2851e-17      0               83788.2         
25      0.96411088        0.883598301          0.177168579        1.20432e+06     512135          210298          83343.5         31839.6         11693.7         4122.38         1393.88         451.585         139.65          41.1919         11.5608         3.08291         0.779204        0.186321        0.0420291       0.00889624      0.00177869      0.000332053     5.76685e-05     9.39627e-06     1.72845e-06     3.39579e-07     7.3016e-08      1.72537e-08     4.49888e-09     1.34429e-09     4.6004e-10      1.7642e-10      7.63971e-11     3.62298e-11     1.98981e-11     1.18433e-11     7.58832e-12     5.20483e-12     3.93306e-12     2.97897e-12     2.49148e-12     2.0988e-12      1.78355e-12     1.62616e-12     1.49929e-12     1.39706e-12     1.31469e-12     1.2485e-12      1.19481e-12     1.15178e-12     1.11722e-12     1.0889e-12      1.06647e-12     1.0489e-12      1.03991e-12     1.03268e-12     1.02677e-12     1.02217e-12     1.01844e-12     1.01537e-12     1.01275e-12     1.01077e-12     1.00924e-12     1.00793e-12     1.00705e-12     1.00617e-12     1.00552e-12     1.00486e-12     1.00442e-12     1.0042e-12      1.00376e-12     1.00354e-12     1.00354e-12     1.00332e-12     1.00311e-12     1.00311e-12     1.00289e-12     1.00289e-12     1.00289e-12     1.00289e-12     1.00289e-12     1.00289e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     1.00267e-12     0               1.82343e+06     
26      1.15742288        1.06076688           0.212692307        1.47176e+07     7.18383e+06     3.40528e+06     1.56669e+06     698881          301653          125814          50669.9         19686.2         7357.12         2642.88         910.749         300.707         94.9396         28.6156         8.21565         2.23777         0.580715        0.142377        0.0328843       0.00719387      0.00174459      0.000446893     0.000123345     3.68796e-05     1.1999e-05      4.36601e-06     1.77745e-06     7.97096e-07     3.95839e-07     2.12796e-07     1.28599e-07     8.32839e-08     5.74495e-08     4.19715e-08     3.30972e-08     2.63455e-08     2.2601e-08      1.95847e-08     1.71622e-08     1.58445e-08     1.47823e-08     1.39264e-08     1.32368e-08     1.26826e-08     1.22331e-08     1.18729e-08     1.15835e-08     1.13464e-08     1.11586e-08     1.10109e-08     1.09289e-08     1.08628e-08     1.08087e-08     1.07667e-08     1.07326e-08     1.07046e-08     1.06805e-08     1.06625e-08     1.06485e-08     1.06365e-08     1.06285e-08     1.06205e-08     1.06145e-08     1.06085e-08     1.06045e-08     1.06025e-08     1.05984e-08     1.05964e-08     1.05964e-08     1.05944e-08     1.05924e-08     1.05924e-08     1.05904e-08     1.05904e-08     1.05904e-08     1.05904e-08     1.05904e-08     1.05904e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     1.05884e-08     0               2.08422e+07     
27      1.38949549        1.27345919           0.255338828        1.03609e+08     5.67854e+07     3.0367e+07      1.58362e+07     8.04639e+06     3.97695e+06     1.90996e+06     890677          402970          176488          74774.4         30596.8         12078.8         4593.01         1679.9          589.964         198.329         63.9904         19.6951         5.76917         1.61387         0.492691        0.157441        0.0535246       0.0194715       0.00761441      0.00326521      0.0015369       0.000785286     0.000437085     0.000260594     0.000170657     0.000118594     8.69693e-05     6.69465e-05     5.47507e-05     4.53667e-05     3.97956e-05     3.5308e-05      3.17024e-05     2.95961e-05     2.78981e-05     2.653e-05       2.54276e-05     2.45417e-05     2.38232e-05     2.32474e-05     2.27847e-05     2.24058e-05     2.21056e-05     2.18689e-05     2.17277e-05     2.16141e-05     2.15211e-05     2.14488e-05     2.13902e-05     2.1342e-05      2.13007e-05     2.12697e-05     2.12456e-05     2.12249e-05     2.12112e-05     2.11974e-05     2.11871e-05     2.11767e-05     2.11699e-05     2.11664e-05     2.11595e-05     2.11561e-05     2.11561e-05     2.11526e-05     2.11492e-05     2.11492e-05     2.11458e-05     2.11458e-05     2.11458e-05     2.11458e-05     2.11458e-05     2.11458e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     2.11423e-05     0               1.38705e+08     
28      1.66810054        1.52879802           0.306536321        4.58747e+08     2.77158e+08     1.64029e+08     9.50431e+07     5.38766e+07     2.98405e+07     1.61339e+07     8.50978e+06     4.37542e+06     2.18924e+06     1.06528e+06     503446          230862          102590          44124.2         18342.9         7352.71         2846.5          1059.53         378.485         130.029         48.1            18.4852         7.47952         3.20466         1.4604          0.718236        0.381669        0.21744         0.133093        0.0864428       0.0605596       0.0446355       0.0344393       0.0276832       0.0233537       0.0199918       0.0178797       0.0161784       0.014811        0.0139632       0.0132798       0.0127292       0.0122855       0.0119289       0.0116398       0.011408        0.0112218       0.0110693       0.0109485       0.0108529       0.0107925       0.0107439       0.0107042       0.0106732       0.0106482       0.0106276       0.0106099       0.0105966       0.0105863       0.0105775       0.0105716       0.0105657       0.0105613       0.0105569       0.0105539       0.0105525       0.0105495       0.010548        0.010548        0.0105466       0.0105451       0.0105451       0.0105436       0.0105436       0.0105436       0.0105436       0.0105436       0.0105436       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0.0105421       0               5.85781e+08     
29      2.00256814        1.83533434           0.367999323        1.37532e+09     9.01855e+08     5.81231e+08     3.67978e+08     2.28706e+08     1.39403e+08     8.32671e+07     4.87103e+07     2.78888e+07     1.56068e+07     8.53132e+06     4.55054e+06     2.36647e+06     1.19859e+06     590631          282849          131397          59265.4         25868.1         10910           4451.76         1933.57         867.036         405.836         199.362         103.211         56.918          33.4783         20.8876         13.8407         9.65039         7.15483         5.53933         4.45846         3.71488         3.21762         2.8286          2.57241         2.36604         2.20013         2.09204         2.00491         1.9347          1.87813         1.83267         1.7958          1.76625         1.74251         1.72306         1.70766         1.69545         1.68735         1.68083         1.67549         1.67135         1.66799         1.66522         1.66285         1.66107         1.65969         1.6585          1.65771         1.65692         1.65633         1.65574         1.65534         1.65514         1.65475         1.65455         1.65455         1.65435         1.65416         1.65416         1.65396         1.65396         1.65396         1.65396         1.65396         1.65396         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         1.65376         0               1.68773e+09     
30      2.40409918        2.20333366           0.441786153        2.9712e+09      2.08712e+09     1.44497e+09     9.85521e+08     6.61801e+08     4.37209e+08     2.83967e+08     1.81229e+08     1.13585e+08     6.98366e+07     4.21e+07        2.48612e+07     1.43714e+07     8.12514e+06     4.48878e+06     2.42101e+06     1.27295e+06     652776          325674          157885          74427.4         36981.5         18871.3         9980.42         5497.62         3166.22         1921.74         1230.76         828.561         586.685         433.92          337.397         272.193         226.938         194.821         172.56          155.038         143.037         133.369         125.594         120.315         116.059         112.63          109.867         107.647         105.846         104.403         103.243         102.293         101.541         100.943         100.531         100.198         99.9265         99.7151         99.544          99.403          99.2822         99.1916         99.1211         99.0607         99.0205         98.9802         98.95           98.9198         98.8997         98.8896         98.8695         98.8594         98.8594         98.8493         98.8393         98.8393         98.8292         98.8292         98.8292         98.8292         98.8292         98.8292         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         98.8191         0               3.52641e+09     
31      2.88614044        2.64511981           0.530367836        4.87632e+09     3.62868e+09     2.66768e+09     1.93673e+09     1.38785e+09     9.80996e+08     6.836e+08       4.69395e+08     3.17436e+08     2.11243e+08     1.38264e+08     8.89433e+07     5.6198e+07      3.48515e+07     2.11971e+07     1.26347e+07     7.37206e+06     4.21126e+06     2.35088e+06     1.28118e+06     681845          379304          215742          126424          76663.6         48275.1         31754.2         21843.9         15673.6         11732.7         9115.13         7377.37         6160.7          5289.92         4655.78         4202.79         3844.42         3590.75         3386.41         3222.05         3106.5          3013.36         2938.31         2877.83         2829.23         2789.82         2758.23         2732.85         2712.07         2695.6          2682.49         2673.13         2665.6          2659.43         2654.64         2650.76         2647.56         2644.82         2642.77         2641.17         2639.8          2638.89         2637.97         2637.29         2636.6          2636.15         2635.92         2635.46         2635.23         2635.23         2635            2634.78         2634.78         2634.55         2634.55         2634.55         2634.55         2634.55         2634.55         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         2634.32         0               5.62795e+09     
32      3.46483486        3.17548765           0.636710861        6.36007e+09     4.96607e+09     3.83866e+09     2.93628e+09     2.22171e+09     1.66192e+09     1.22845e+09     8.96906e+08     6.46519e+08     4.59791e+08     3.22479e+08     2.22908e+08     1.51776e+08     1.01735e+08     6.70865e+07     4.34945e+07     2.76993e+07     1.73269e+07     1.06311e+07     6.39273e+06     3.76769e+06     2.30465e+06     1.43606e+06     917332          603067          409291          288043          210429          159294          124941          101143          84672.8         72789.5         64062.5         57568.6         52810.5         49030.5         46280           44064.4         42281.9         40991.8         39951.8         39113.8         38438.6         37896           37455.9         37103.2         36819.9         36587.8         36403.9         36257.4         36149.7         36063           35992.1         35937           35892.3         35855.5         35824           35800.4         35782           35766.2         35755.7         35745.2         35737.4         35729.5         35724.2         35721.6         35716.3         35713.7         35713.7         35711.1         35708.5         35708.5         35705.8         35705.8         35705.8         35705.8         35705.8         35705.8         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         35703.2         0               7.17129e+09     
33      4.15956216        3.81219851           0.764376519        6.85302e+09     5.56866e+09     4.48746e+09     3.58496e+09     2.8382e+09      2.22576e+09     1.72827e+09     1.32824e+09     1.00996e+09     7.59357e+08     5.64335e+08     4.14328e+08     3.00375e+08     2.14919e+08     1.5168e+08      1.05536e+08     7.23387e+07     4.88396e+07     3.24441e+07     2.11916e+07     1.36089e+07     9.01607e+06     6.06606e+06     4.16656e+06     2.9317e+06      2.11891e+06     1.57841e+06     1.21299e+06     960520          783549          656533          565510          498151          447600          409300          380630          357774          340753          327043          316010          307827          301231          295916          291634          288192          285401          283164          281367          279894          278728          277797          277097          276533          276072          275714          275423          275184          274979          274825          274706          274603          274535          274467          274415          274364          274330          274313          274279          274262          274262          274245          274228          274228          274210          274210          274210          274210          274210          274210          274193          274193          274193          274193          274193          274193          274193          274193          274193          274193          274193          274193          274193          274193          274193          274193          274193          0               7.57945e+09     
34      4.99358789        4.57657503           0.91764017         6.30825e+09     5.29667e+09     4.41711e+09     3.65749e+09     3.00608e+09     2.45146e+09     1.9829e+09      1.5903e+09      1.26418e+09     9.95611e+08     7.7655e+08      5.99586e+08     4.58096e+08     3.46175e+08     2.58615e+08     1.90916e+08     1.39186e+08     1.0019e+08      7.11477e+07     4.98145e+07     3.43828e+07     2.43592e+07     1.74808e+07     1.27627e+07     9.50804e+06     7.24509e+06     5.66124e+06     4.54008e+06     3.73385e+06     3.14817e+06     2.71516e+06     2.39561e+06     2.15404e+06     1.96941e+06     1.82741e+06     1.71917e+06     1.63263e+06     1.56691e+06     1.51398e+06     1.47138e+06     1.43912e+06     1.41312e+06     1.39217e+06     1.37529e+06     1.36173e+06     1.35072e+06     1.34191e+06     1.33482e+06     1.32902e+06     1.32442e+06     1.32075e+06     1.31793e+06     1.31566e+06     1.3138e+06      1.31236e+06     1.31119e+06     1.31023e+06     1.3094e+06      1.30878e+06     1.3083e+06      1.30789e+06     1.30762e+06     1.30734e+06     1.30713e+06     1.30693e+06     1.30679e+06     1.30672e+06     1.30658e+06     1.30652e+06     1.30652e+06     1.30645e+06     1.30638e+06     1.30638e+06     1.30631e+06     1.30631e+06     1.30631e+06     1.30631e+06     1.30631e+06     1.30631e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     1.30624e+06     0               6.86741e+09     
35      5.9948425         5.4942152            1.10163442         5.10619e+09     4.40308e+09     3.77591e+09     3.21943e+09     2.72841e+09     2.29759e+09     1.92193e+09     1.59652e+09     1.31659e+09     1.07744e+09     8.7473e+08      7.04241e+08     5.62054e+08     4.4451e+08      3.48214e+08     2.70091e+08     2.07325e+08     1.57459e+08     1.18241e+08     8.77496e+07     6.43435e+07     4.82239e+07     3.6532e+07      2.8075e+07      2.19437e+07     1.74798e+07     1.42184e+07     1.18189e+07     1.00345e+07     8.69868e+06     7.68619e+06     6.92033e+06     6.33088e+06     5.87344e+06     5.51711e+06     5.24136e+06     5.02034e+06     4.84975e+06     4.71233e+06     4.60173e+06     4.51652e+06     4.44784e+06     4.39249e+06     4.3479e+06      4.31206e+06     4.283e+06       4.2597e+06      4.24099e+06     4.22566e+06     4.21351e+06     4.2038e+06      4.19622e+06     4.19012e+06     4.18513e+06     4.18124e+06     4.1781e+06      4.17551e+06     4.17329e+06     4.17163e+06     4.17033e+06     4.16923e+06     4.16849e+06     4.16775e+06     4.16719e+06     4.16664e+06     4.16627e+06     4.16608e+06     4.16571e+06     4.16553e+06     4.16553e+06     4.16534e+06     4.16516e+06     4.16516e+06     4.16497e+06     4.16497e+06     4.16497e+06     4.16497e+06     4.16497e+06     4.16497e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     4.16479e+06     0               5.48787e+09     
36      7.19685673        6.59584962           1.322521           3.72525e+09     3.28191e+09     2.87858e+09     2.51311e+09     2.18339e+09     1.8872e+09      1.62241e+09     1.38691e+09     1.17859e+09     9.95331e+08     8.3511e+08      6.95902e+08     5.75761e+08     4.7281e+08      3.85231e+08     3.11318e+08     2.49433e+08     1.98088e+08     1.55844e+08     1.21412e+08     9.36438e+07     7.35653e+07     5.83128e+07     4.67807e+07     3.80648e+07     3.14702e+07     2.64758e+07     2.26805e+07     1.97774e+07     1.75488e+07     1.58241e+07     1.44922e+07     1.34515e+07     1.26335e+07     1.19895e+07     1.14847e+07     1.10793e+07     1.0762e+07      1.05065e+07     1.03008e+07     1.014e+07       1.00104e+07     9.90594e+06     9.82179e+06     9.75416e+06     9.69931e+06     9.65536e+06     9.62004e+06     9.59111e+06     9.5682e+06      9.54985e+06     9.53533e+06     9.52364e+06     9.51408e+06     9.50664e+06     9.50062e+06     9.49566e+06     9.49141e+06     9.48823e+06     9.48575e+06     9.48362e+06     9.48221e+06     9.48079e+06     9.47973e+06     9.47866e+06     9.47796e+06     9.4776e+06      9.47689e+06     9.47654e+06     9.47654e+06     9.47619e+06     9.47583e+06     9.47583e+06     9.47548e+06     9.47548e+06     9.47548e+06     9.47548e+06     9.47548e+06     9.47548e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     9.47512e+06     1.85315e-284    3.96258e+09     
37      8.63988449        7.91837061           1.58769711         2.50067e+09     2.24112e+09     2.00145e+09     1.78081e+09     1.57833e+09     1.39313e+09     1.22435e+09     1.07115e+09     9.32662e+08     8.08002e+08     6.96331e+08     5.96776e+08     5.0849e+08      4.30636e+08     3.62373e+08     3.02899e+08     2.51411e+08     2.07161e+08     1.69387e+08     1.37387e+08     1.1051e+08      9.02805e+07     7.43149e+07     6.17926e+07     5.19961e+07     4.43432e+07     3.83716e+07     3.37097e+07     3.00591e+07     2.71973e+07     2.49436e+07     2.31729e+07     2.17719e+07     2.06587e+07     1.97746e+07     1.90742e+07     1.85106e+07     1.80646e+07     1.77053e+07     1.7416e+07      1.71872e+07     1.70027e+07     1.6854e+07      1.67342e+07     1.6638e+07      1.65599e+07     1.64974e+07     1.64471e+07     1.64059e+07     1.63733e+07     1.63472e+07     1.63262e+07     1.63094e+07     1.62956e+07     1.62849e+07     1.62762e+07     1.62691e+07     1.62629e+07     1.62584e+07     1.62548e+07     1.62517e+07     1.62497e+07     1.62476e+07     1.62461e+07     1.62446e+07     1.62435e+07     1.6243e+07      1.6242e+07      1.62415e+07     1.62415e+07     1.6241e+07      1.62405e+07     1.62405e+07     1.624e+07       1.624e+07       1.624e+07       1.624e+07       1.624e+07       1.624e+07       1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     1.62395e+07     5.8199e-236     2.63816e+09     
38      10.372251         9.50606772           1.90604318         1.571e+09       1.42723e+09     1.29301e+09     1.16796e+09     1.05175e+09     9.44011e+08     8.44396e+08     7.52561e+08     6.68168e+08     5.90856e+08     5.20292e+08     4.56123e+08     3.98003e+08     3.4559e+08      2.98531e+08     2.5649e+08      2.19116e+08     1.86081e+08     1.57037e+08     1.31656e+08     1.09628e+08     9.24999e+07     7.85549e+07     6.72849e+07     5.82153e+07     5.0942e+07      4.51256e+07     4.04828e+07     3.67762e+07     3.38195e+07     3.14576e+07     2.95751e+07     2.807e+07       2.68634e+07     2.58982e+07     2.51266e+07     2.4505e+07      2.40083e+07     2.36081e+07     2.3286e+07      2.30285e+07     2.28209e+07     2.26537e+07     2.25189e+07     2.24106e+07     2.23228e+07     2.22524e+07     2.21959e+07     2.21496e+07     2.21129e+07     2.20834e+07     2.20596e+07     2.20405e+07     2.20248e+07     2.20127e+07     2.20028e+07     2.19947e+07     2.19877e+07     2.19825e+07     2.19784e+07     2.19749e+07     2.19726e+07     2.19703e+07     2.19686e+07     2.19668e+07     2.19657e+07     2.19651e+07     2.19639e+07     2.19633e+07     2.19633e+07     2.19628e+07     2.19622e+07     2.19622e+07     2.19616e+07     2.19616e+07     2.19616e+07     2.19616e+07     2.19616e+07     2.19616e+07     2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      2.1961e+07      1.28559e-195    1.64657e+09     
39      12.4519708        11.4121109           2.28822019         9.3641e+08      8.59941e+08     7.87971e+08     7.20343e+08     6.56906e+08     5.97505e+08     5.41993e+08     4.90227e+08     4.42068e+08     3.97366e+08     3.55989e+08     3.17792e+08     2.82638e+08     2.50389e+08     2.20903e+08     1.94047e+08     1.69677e+08     1.47661e+08     1.27852e+08     1.10113e+08     9.43131e+07     8.17053e+07     7.11832e+07     6.24727e+07     5.53019e+07     4.94285e+07     4.46373e+07     4.07434e+07     3.75854e+07     3.50305e+07     3.29655e+07     3.13005e+07     2.99578e+07     2.88736e+07     2.8001e+07      2.72985e+07     2.67318e+07     2.62754e+07     2.59078e+07     2.56118e+07     2.53733e+07     2.5181e+07      2.50261e+07     2.49012e+07     2.48009e+07     2.47195e+07     2.46543e+07     2.46019e+07     2.4559e+07      2.4525e+07      2.44978e+07     2.44755e+07     2.44576e+07     2.4443e+07      2.44316e+07     2.44224e+07     2.44148e+07     2.44083e+07     2.44034e+07     2.43996e+07     2.43964e+07     2.43942e+07     2.4392e+07      2.43904e+07     2.43888e+07     2.43877e+07     2.43872e+07     2.43861e+07     2.43855e+07     2.43855e+07     2.4385e+07      2.43844e+07     2.43844e+07     2.43839e+07     2.43839e+07     2.43839e+07     2.43839e+07     2.43839e+07     2.43839e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     2.43834e+07     4.59389e-162    9.7638e+08      
40      14.9486913        13.7003311           2.74702678         5.3538e+08      4.95882e+08     4.58492e+08     4.23138e+08     3.89752e+08     3.58264e+08     3.28608e+08     3.0072e+08      2.74541e+08     2.50007e+08     2.2706e+08      2.05641e+08     1.85691e+08     1.67155e+08     1.49975e+08     1.34097e+08     1.19463e+08     1.06021e+08     9.37114e+07     8.24784e+07     7.22707e+07     6.39603e+07     5.6889e+07      5.09242e+07     4.59251e+07     4.17615e+07     3.83114e+07     3.5467e+07      3.3131e+07      3.12198e+07     2.96606e+07     2.83915e+07     2.73612e+07     2.65243e+07     2.58476e+07     2.52995e+07     2.4857e+07      2.44984e+07     2.42096e+07     2.3977e+07      2.37883e+07     2.36362e+07     2.35136e+07     2.34149e+07     2.33355e+07     2.32712e+07     2.32196e+07     2.31781e+07     2.31442e+07     2.31173e+07     2.30957e+07     2.3078e+07      2.30638e+07     2.30521e+07     2.3043e+07      2.30357e+07     2.30297e+07     2.30245e+07     2.30206e+07     2.30176e+07     2.3015e+07      2.30132e+07     2.30115e+07     2.30102e+07     2.30089e+07     2.30081e+07     2.30076e+07     2.30068e+07     2.30063e+07     2.30063e+07     2.30059e+07     2.30055e+07     2.30055e+07     2.3005e+07      2.3005e+07      2.3005e+07      2.3005e+07      2.3005e+07      2.3005e+07      2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     2.30046e+07     3.61768e-134    5.55943e+08     
41      17.9460244        16.4473579           3.29782778         2.96143e+08     2.76164e+08     2.57173e+08     2.39136e+08     2.22022e+08     2.05796e+08     1.9043e+08      1.75892e+08     1.62157e+08     1.49193e+08     1.36978e+08     1.25482e+08     1.14682e+08     1.04553e+08     9.507e+07       8.62109e+07     7.79513e+07     7.02694e+07     6.3141e+07      5.65437e+07     5.04569e+07     4.54254e+07     4.10805e+07     3.73623e+07     3.42029e+07     3.15376e+07     2.93018e+07     2.7438e+07      2.58924e+07     2.46167e+07     2.35683e+07     2.27088e+07     2.20072e+07     2.14347e+07     2.097e+07       2.0592e+07      2.02865e+07     2.00378e+07     1.98374e+07     1.9676e+07      1.95444e+07     1.94383e+07     1.93529e+07     1.9284e+07      1.92286e+07     1.91838e+07     1.91478e+07     1.91189e+07     1.90952e+07     1.90765e+07     1.90614e+07     1.9049e+07      1.9039e+07      1.90308e+07     1.90245e+07     1.90193e+07     1.90151e+07     1.90114e+07     1.90087e+07     1.90066e+07     1.90048e+07     1.90036e+07     1.90024e+07     1.90015e+07     1.90005e+07     1.89999e+07     1.89996e+07     1.8999e+07      1.89987e+07     1.89987e+07     1.89984e+07     1.89981e+07     1.89981e+07     1.89978e+07     1.89978e+07     1.89978e+07     1.89978e+07     1.89978e+07     1.89978e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     1.89975e+07     5.52959e-111    3.06515e+08     
