This file contains the cloud scattering cross sections per wavelength at each layer center. 
Cross sections given in [cm^2].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   cloud_cross_sect_lay[0]   cloud_cross_sect_lay[1]   cloud_cross_sect_lay[2]   cloud_cross_sect_lay[3]   cloud_cross_sect_lay[4]   cloud_cross_sect_lay[5]   cloud_cross_sect_lay[6]   cloud_cross_sect_lay[7]   cloud_cross_sect_lay[8]   cloud_cross_sect_lay[9]   cloud_cross_sect_lay[10]   cloud_cross_sect_lay[11]   cloud_cross_sect_lay[12]   cloud_cross_sect_lay[13]   cloud_cross_sect_lay[14]   cloud_cross_sect_lay[15]   cloud_cross_sect_lay[16]   cloud_cross_sect_lay[17]   cloud_cross_sect_lay[18]   cloud_cross_sect_lay[19]   cloud_cross_sect_lay[20]   cloud_cross_sect_lay[21]   cloud_cross_sect_lay[22]   cloud_cross_sect_lay[23]   cloud_cross_sect_lay[24]   cloud_cross_sect_lay[25]   cloud_cross_sect_lay[26]   cloud_cross_sect_lay[27]   cloud_cross_sect_lay[28]   cloud_cross_sect_lay[29]   cloud_cross_sect_lay[30]   cloud_cross_sect_lay[31]   cloud_cross_sect_lay[32]   cloud_cross_sect_lay[33]   cloud_cross_sect_lay[34]   cloud_cross_sect_lay[35]   cloud_cross_sect_lay[36]   cloud_cross_sect_lay[37]   cloud_cross_sect_lay[38]   cloud_cross_sect_lay[39]   cloud_cross_sect_lay[40]   cloud_cross_sect_lay[41]   cloud_cross_sect_lay[42]   cloud_cross_sect_lay[43]   cloud_cross_sect_lay[44]   cloud_cross_sect_lay[45]   cloud_cross_sect_lay[46]   cloud_cross_sect_lay[47]   cloud_cross_sect_lay[48]   cloud_cross_sect_lay[49]   cloud_cross_sect_lay[50]   cloud_cross_sect_lay[51]   cloud_cross_sect_lay[52]   cloud_cross_sect_lay[53]   cloud_cross_sect_lay[54]   cloud_cross_sect_lay[55]   cloud_cross_sect_lay[56]   cloud_cross_sect_lay[57]   cloud_cross_sect_lay[58]   cloud_cross_sect_lay[59]   cloud_cross_sect_lay[60]   cloud_cross_sect_lay[61]   cloud_cross_sect_lay[62]   cloud_cross_sect_lay[63]   cloud_cross_sect_lay[64]   cloud_cross_sect_lay[65]   cloud_cross_sect_lay[66]   cloud_cross_sect_lay[67]   cloud_cross_sect_lay[68]   cloud_cross_sect_lay[69]   cloud_cross_sect_lay[70]   cloud_cross_sect_lay[71]   cloud_cross_sect_lay[72]   cloud_cross_sect_lay[73]   cloud_cross_sect_lay[74]   cloud_cross_sect_lay[75]   cloud_cross_sect_lay[76]   cloud_cross_sect_lay[77]   cloud_cross_sect_lay[78]   cloud_cross_sect_lay[79]   cloud_cross_sect_lay[80]   cloud_cross_sect_lay[81]   cloud_cross_sect_lay[82]   cloud_cross_sect_lay[83]   cloud_cross_sect_lay[84]   cloud_cross_sect_lay[85]   cloud_cross_sect_lay[86]   cloud_cross_sect_lay[87]   cloud_cross_sect_lay[88]   cloud_cross_sect_lay[89]   cloud_cross_sect_lay[90]   cloud_cross_sect_lay[91]   cloud_cross_sect_lay[92]   cloud_cross_sect_lay[93]   cloud_cross_sect_lay[94]   cloud_cross_sect_lay[95]   
10      0.0621800109      0.0569873788         0.0114264286       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
11      0.0746476041      0.0684138075         0.0137175197       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
12      0.0896150502      0.0821313271         0.0164679929       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
13      0.10758359        0.09859932           0.0197699582       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
14      0.129154967       0.118369278          0.0237339941       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
15      0.155051578       0.142103272          0.0284928511       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
16      0.186140669       0.170596123          0.0342058974       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
17      0.223463373       0.204802021          0.0410644554       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
18      0.26826958        0.245866476          0.0492982096       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
19      0.322059792       0.295164686          0.0591828978       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
20      0.386635375       0.354347584          0.0710495457       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
21      0.464158883       0.425397129          0.0852955522       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
22      0.55722648        0.510692681          0.102397998        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
23      0.668954879       0.613090679          0.122929621        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
24      0.803085722       0.7360203            0.147578001        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
