This file contains the corresponding layer temperatures and pressures, and the altitude and the height of each layer.
layer   temp.[K]          press.[10^-6bar]        altitude[cm]         height.of.layer[cm]    conv.unstable?[1:yes,0:no]    conv.lapse-rate?[1:yes,0:no]    pl.eff.temp.[K]   
BOA     714.922           1e+07                   0                    not_avail.             0                             1                               269.698           
0       707.63            9.64752e+06             703751               1.4075e+06             0                             1                               
1       693.268           8.9794e+06              2.09697e+06          1.37894e+06            0                             1                               
2       679.197           8.35755e+06             3.46191e+06          1.35095e+06            0                             1                               
3       665.412           7.77876e+06             4.79915e+06          1.32353e+06            0                             1                               
4       651.906           7.24006e+06             6.10925e+06          1.29667e+06            0                             1                               
5       638.675           6.73866e+06             7.39276e+06          1.27035e+06            0                             1                               
6       625.712           6.27199e+06             8.65021e+06          1.24457e+06            0                             1                               
7       613.013           5.83764e+06             9.88215e+06          1.21931e+06            0                             1                               
8       600.571           5.43336e+06             1.10891e+07          1.19456e+06            0                             1                               
9       588.381           5.05708e+06             1.22715e+07          1.17031e+06            0                             1                               
10      576.439           4.70686e+06             1.343e+07            1.14656e+06            0                             1                               
11      564.74            4.3809e+06              1.45649e+07          1.12329e+06            0                             1                               
12      553.278           4.07751e+06             1.56768e+07          1.10049e+06            0                             1                               
13      542.048           3.79513e+06             1.67661e+07          1.07815e+06            0                             1                               
14      531.047           3.5323e+06              1.78333e+07          1.05627e+06            0                             1                               
15      520.268           3.28768e+06             1.88789e+07          1.03483e+06            0                             1                               
16      509.709           3.06e+06                1.99032e+07          1.01383e+06            0                             1                               
17      499.363           2.84808e+06             2.09067e+07          993253                 0                             1                               
18      489.228           2.65085e+06             2.18899e+07          973094                 0                             1                               
19      479.299           2.46727e+06             2.28531e+07          953343                 0                             1                               
20      469.571           2.2964e+06              2.37968e+07          933994                 0                             1                               
21      460.04            2.13737e+06             2.47213e+07          915037                 0                             1                               
22      450.703           1.98935e+06             2.56271e+07          896465                 0                             1                               
23      441.555           1.85158e+06             2.65144e+07          878271                 0                             1                               
24      432.593           1.72335e+06             2.73838e+07          860445                 0                             1                               
25      423.813           1.604e+06               2.82355e+07          842981                 0                             1                               
26      415.212           1.49292e+06             2.90699e+07          825872                 0                             1                               
27      406.784           1.38953e+06             2.98874e+07          809109                 0                             1                               
28      398.528           1.2933e+06              3.06883e+07          792688                 0                             1                               
29      390.439           1.20374e+06             3.1473e+07           776599                 0                             1                               
30      382.515           1.12038e+06             3.22417e+07          760837                 0                             1                               
31      374.751           1.04279e+06             3.29948e+07          745395                 0                             1                               
32      367.145           970570                  3.37326e+07          730266                 0                             1                               
33      359.694           903355                  3.44555e+07          715444                 0                             1                               
34      352.393           840795                  3.51637e+07          700923                 0                             1                               
35      345.241           782567                  3.58575e+07          686697                 0                             1                               
36      338.234           728372                  3.65372e+07          672760                 0                             1                               
37      331.369           677930                  3.72031e+07          659105                 0                             1                               
38      324.643           630981                  3.78555e+07          645728                 0                             1                               
39      318.054           587284                  3.84947e+07          632622                 0                             1                               
40      311.599           546612                  3.91209e+07          619782                 0                             1                               
41      305.5             508758                  3.97346e+07          607651                 0                             0                               
42      299.958           473525                  4.03368e+07          596629                 0                             0                               
43      294.661           440732                  4.09281e+07          586091                 0                             0                               
44      289.653           410210                  4.15092e+07          576131                 0                             0                               
45      284.929           381801                  4.20807e+07          566734                 0                             0                               
46      280.469           355360                  4.2643e+07           557864                 0                             0                               
47      276.278           330751                  4.31967e+07          549527                 0                             0                               
48      272.345           307845                  4.37423e+07          541705                 0                             0                               
49      268.665           286526                  4.42803e+07          534386                 0                             0                               
50      265.225           266683                  4.48113e+07          527544                 0                             0                               
51      262.013           248214                  4.53356e+07          521154                 0                             0                               
52      259.034           231025                  4.58538e+07          515228                 0                             0                               
53      256.26            215026                  4.63663e+07          509711                 0                             0                               
54      253.695           200134                  4.68735e+07          504608                 0                             0                               
55      251.321           186274                  4.73757e+07          499887                 0                             0                               
56      249.132           173374                  4.78734e+07          495534                 0                             0                               
57      247.116           161368                  4.8367e+07           491523                 0                             0                               
58      245.262           150192                  4.88566e+07          487835                 0                             0                               
59      243.561           139791                  4.93428e+07          484451                 0                             0                               
60      242.002           130110                  4.98257e+07          481352                 0                             0                               
61      240.577           121100                  5.03056e+07          478516                 0                             0                               
62      239.276           112713                  5.07828e+07          475929                 0                             0                               
63      238.086           104907                  5.12576e+07          473562                 0                             0                               
64      237.01            97642.2                 5.17301e+07          471421                 0                             0                               
65      236.02            90880.2                 5.22005e+07          469452                 0                             0                               
66      235.131           84586.5                 5.26691e+07          467685                 0                             0                               
67      234.315           78728.6                 5.31359e+07          466062                 0                             0                               
68      233.58            73276.4                 5.36013e+07          464599                 0                             0                               
69      232.917           68201.8                 5.40652e+07          463281                 0                             0                               
70      232.308           63478.6                 5.45279e+07          462070                 0                             0                               
71      231.762           59082.5                 5.49894e+07          460983                 0                             0                               
72      231.272           54990.9                 5.54499e+07          460009                 0                             0                               
73      230.827           51182.6                 5.59095e+07          459124                 0                             0                               
74      230.42            47638                   5.63682e+07          458315                 0                             0                               
75      230.056           44338.9                 5.68262e+07          457590                 0                             0                               
76      229.729           41268.3                 5.72834e+07          456939                 0                             0                               
77      229.435           38410.4                 5.77401e+07          456354                 0                             0                               
78      229.171           35750.3                 5.81962e+07          455830                 0                             0                               
79      228.932           33274.5                 5.86518e+07          455355                 0                             0                               
80      228.714           30970.1                 5.91069e+07          454920                 0                             0                               
81      228.517           28825.4                 5.95616e+07          454530                 0                             0                               
82      228.341           26829.1                 6.0016e+07           454180                 0                             0                               
83      228.183           24971.1                 6.047e+07            453865                 0                             0                               
84      228.041           23241.8                 6.09237e+07          453582                 0                             0                               
85      227.914           21632.2                 6.13772e+07          453329                 0                             0                               
86      227.799           20134.1                 6.18304e+07          453101                 0                             0                               
87      227.696           18739.8                 6.22834e+07          452897                 0                             0                               
88      227.604           17442                   6.27362e+07          452713                 0                             0                               
89      227.521           16234.1                 6.31888e+07          452548                 0                             0                               
90      227.447           15109.8                 6.36413e+07          452400                 0                             0                               
91      227.38            14063.4                 6.40936e+07          452267                 0                             0                               
92      227.32            13089.5                 6.45458e+07          452148                 0                             0                               
93      227.266           12183                   6.49979e+07          452040                 0                             0                               
94      227.217           11339.3                 6.54499e+07          451944                 0                             0                               
95      227.174           10554                   6.59018e+07          451858                 0                             0                               
