This file contains the integrated total and net fluxes at each interface resp. layer. 
Fluxes given in [erg s^-1 cm^-2].
interface press.[10^-6bar] F_down F_up F_net F_dir delta_F_net F_net_conv F_add_heat F_intern
0 1.00000000000000000e+07 1.13437523614475578e+07 1.22578748620825689e+07 9.14122500635011122e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00 3.00000000009757525e+05
1 8.65964323360065371e+06 9.62342735166556388e+06 1.13437523614475578e+07 1.72032500978199393e+06 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
2 7.49894209332455788e+06 8.16390707918134704e+06 9.62342735166564584e+06 1.45952027248429880e+06 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
3 6.49381631576211285e+06 6.92569083774667233e+06 8.16390707921228185e+06 1.23821624146560952e+06 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
4 5.62341325190349109e+06 5.87532889701447915e+06 6.92569084124227148e+06 1.05036194422779232e+06 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
5 4.86967525165863149e+06 4.98432154546670523e+06 5.87532904955018312e+06 8.91007504083477892e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
6 4.21696503428582288e+06 4.22840830947757419e+06 4.98432464983745478e+06 7.55916340359880589e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
7 3.65174127254837705e+06 3.58708377256829292e+06 4.22844231837659422e+06 6.41358545808301307e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
8 3.16227766016837955e+06 3.04278096996686282e+06 3.58731088585814368e+06 5.44529915891280863e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
9 2.73841963426436111e+06 2.58005617912391201e+06 3.04379760062817298e+06 4.63741421504260972e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
10 2.37137370566165540e+06 2.18621200920056645e+06 2.58335968481558189e+06 3.97147675615015440e+05 0.00000000000000000e+00 not_avail. 0.00000000000000000e+00 0.00000000000000000e+00
