This file contains the integrated total and net fluxes at each interface resp. layer. 
Fluxes given in [erg s^-1 cm^-2].
interface press.[10^-6bar] F_down F_up F_net F_dir delta_F_net F_net_conv F_add_heat F_intern
0 1.00000000000000000e+07 1.47192749015814867e+07 1.48110432478366960e+07 9.17683462552092969e+04 0.00000000000000000e+00 -2.70871235139165074e+04 2.08231653754548228e+05 0.00000000000000000e+00 3.00000000009757525e+05
1 8.65964323360065371e+06 1.25147879568933155e+07 1.26336434267256800e+07 1.18855469832364470e+05 0.00000000000000000e+00 -6.27227563322521746e+03 1.81144530177393055e+05 0.00000000000000000e+00
2 7.49894209332455788e+06 1.06043666829752568e+07 1.07294944284444638e+07 1.25127745469206944e+05 0.00000000000000000e+00 -6.59658412084728479e+03 1.74872254540550581e+05 0.00000000000000000e+00
3 6.49381631576211285e+06 8.98310115967605449e+06 9.11482548927855492e+06 1.31724329602500424e+05 0.00000000000000000e+00 -6.93006290711462498e+03 1.68275670407257101e+05 0.00000000000000000e+00
4 5.62341325190349109e+06 7.60695859131093882e+06 7.74561298383347131e+06 1.38654392522532493e+05 0.00000000000000000e+00 -7.32936778408754617e+03 1.61345607487225032e+05 0.00000000000000000e+00
5 4.86967525165863149e+06 6.43884495398686919e+06 6.58482871429740079e+06 1.45983760310531594e+05 0.00000000000000000e+00 -7.70898250852338970e+03 1.54016239699225931e+05 0.00000000000000000e+00
6 4.21696503428582288e+06 5.44704133982722927e+06 5.60073408264898416e+06 1.53692742821754888e+05 0.00000000000000000e+00 -8.09527124286629260e+03 1.46307257188002637e+05 0.00000000000000000e+00
7 3.65174127254837705e+06 4.60492256387389731e+06 4.76671057795379963e+06 1.61788014079902321e+05 0.00000000000000000e+00 -8.52829252581810579e+03 1.38211985929855204e+05 0.00000000000000000e+00
8 3.16227766016837955e+06 3.88961928247615602e+06 4.05993558909750544e+06 1.70316306621349417e+05 0.00000000000000000e+00 -9.00461343320552260e+03 1.29683693388408108e+05 0.00000000000000000e+00
9 2.73841963426436111e+06 3.28192125868111337e+06 3.46124217873867135e+06 1.79320920057557989e+05 0.00000000000000000e+00 -9.49451429929910228e+03 1.20679079952199536e+05 0.00000000000000000e+00
10 2.37137370566165540e+06 2.76538038606319809e+06 2.95419582043763157e+06 1.88815434374433476e+05 0.00000000000000000e+00 -1.00115102753140964e+04 1.11184565635324048e+05 0.00000000000000000e+00
11 2.05352502645714604e+06 2.32609468863289058e+06 2.52492163328525843e+06 1.98826944652367849e+05 0.00000000000000000e+00 -1.05867210947764106e+04 1.01173055357389676e+05 0.00000000000000000e+00
12 1.77827941003892291e+06 1.95230653751545586e+06 2.16172020328036789e+06 2.09413665764912032e+05 0.00000000000000000e+00 -1.12157124998732470e+04 9.05863342448454932e+04 0.00000000000000000e+00
